,name,price,rating
0,SHOPLINE SP-T-113-SPKR1 9 W Bluetooth Speaker,349,3.7
1,Oxhox Flip Essential BASS Stereo With FM 10 W Bluetooth...,649,3.8
2,boAt Stone 350 10 W Bluetooth Speaker,"1,599",4.3
3,F FERONS Wireless rechargeable portable Premium bass Mu...,429,3.9
4,F FERONS Wireless rechargeable portable Premium Dj bass...,429,3.9
5,"Mivi Fort S100 with 2 in-built subwoofers, Made in Indi...","4,999",4.5
6,Mivi Roam2 5 W Bluetooth Speaker,999,4.3
7,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
8,"Mivi Fort S60 with 2 in-built subwoofers, Made in India...","3,499",4.6
9,boAt Stone Grenade 5 W Portable Bluetooth Speaker,"1,199",4.2
10,DINGLOT MINI WS – 887 Bluetooth Speaker 5 W Bluetooth G...,289,3.8
11,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
12,Mivi Play 5 W Portable Bluetooth Speaker,799,4.2
13,etmax NANO PLUS 30 W Bluetooth Home Theatre,949,3.8
14,boAt Stone 1000 14 W Portable Bluetooth Speaker,"2,799",4.4
15,U&i Sumo Series with Karaoke mic and 6 hours Battery Ba...,859,4
16,boAt Stone 350 10 W Bluetooth Speaker,"1,599",4.3
17,SONY SA-D40 80 W Bluetooth Home Theatre,"8,935",4.4
18,boAt Aavante Bar 2000 160 W Bluetooth Soundbar,"9,499",4.4
19,Croma Party Speaker 1400 Watts Dynamic Bass Boost CREY3...,"14,990",4.2
20,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,"1,399",4.1
21,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,"1,399",4.1
22,F FERONS 100% Best Quality Super Bass 3D Sound Wireless...,398,4
23,Zeom ®A006 10W (MZ Series) Wireless Bluetooth Portable ...,697,0
24,JBL Flip Essential IPX7 Waterproof 16 W Bluetooth Speak...,"4,999",4.4
25,boAt Stone 350 10 W Bluetooth Speaker,"1,599",4.3
26,PTron Fusion 10W Bluetooth Speaker 10 W Bluetooth Speak...,"1,199",4.3
27,Aroma Studio 1 Pro High Sound Quality With 6 Hours Play...,499,4
28,ZEBRONICS Zeb - Fame 5 watt Laptop/Desktop Speaker,549,4.1
29,boAt Stone 190F 5 W Bluetooth Speaker,"1,199",4.4
30,Mivi Play 5 W Portable Bluetooth Speaker,799,4.2
31,Aroma Studio 1 Pro High Sound Quality With 6 Hours Play...,499,4
32,boAt Stone 190F 5 W Bluetooth Speaker,"1,199",4.4
33,F FERONS Best Quality Super Bass 3D Sound Wireless rech...,398,4
34,ZEBRONICS BT4440 RUCF 60 Watt Bluetooth Home Theatre,"3,099",4.1
